path	writes_yaml	appends_curation_history	has_write_safeguard	validates_before_write	wired_into_just
scripts/add_community_ids.py	yes	yes	yes	yes	no
scripts/add_evidence_source.py	yes	yes	yes	yes	no
scripts/apply_pmc_conversions.py	yes	yes	yes	yes	no
scripts/apply_strain_designations.py	yes	no	no	no	no
scripts/apply_taxonomy_corrections.py	yes	no	no	no	no
scripts/backfill_metals.py	yes	no	yes	no	no
scripts/clean_metals_inplace.py	yes	yes	yes	yes	no
scripts/enhance_strain_data.py	yes	yes	yes	yes	no
scripts/fix_network_integrity.py	yes	yes	yes	yes	no
scripts/fix_reference_formats.py	yes	no	yes	no	no
scripts/intelligent_snippet_fixer.py	yes	yes	no	yes	no
scripts/link_growth_media.py	yes	yes	yes	yes	yes
src/communitymech/cli.py	yes	no	yes	no	no
src/communitymech/network/batch_reporter.py	yes	no	no	no	no
src/communitymech/network/llm_repair.py	yes	yes	yes	yes	no
src/communitymech/validation/write_validated.py	yes	no	no	yes	no
