proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
ID	LABEL	A IAO:0000115	>A IAO:0000119	SC %	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasDbXref SPLIT=|	A oboInOwl:inSubset			
METPO:1008100	microbial community cultivation setup	A hardware/instrumentation and operating-mode configuration used to grow or sustain a microbial community.	CommunityMech:communitymech.yaml#CultivationSetup	METPO:1000000	cultivation setup|culture hardware setup		metpo_communitymech_2026_06	HIGH		top-level domain class for CultivationSetup
METPO:1008101	cultivation mode	The operating mode or approach used to cultivate a microbial community.	CommunityMech:communitymech.yaml#CultivationModeEnum	METPO:1008100	cultivation approach|culture mode		metpo_communitymech_2026_06	HIGH		enum-parent for CultivationModeEnum
METPO:1008102	cultivation system	The instrumentation or vessel system used to grow a microbial community.	CommunityMech:communitymech.yaml#CultivationSystemEnum	METPO:1008100	cultivation instrumentation|culture vessel system		metpo_communitymech_2026_06	HIGH		enum-parent for CultivationSystemEnum
METPO:1008110	batch culture	A cultivation-mode value indicating a closed culture with no nutrient addition or removal after inoculation.	CommunityMech:communitymech.yaml#CultivationModeEnum.BATCH	METPO:1008101	batch cultivation|closed culture		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.BATCH
METPO:1008111	fed-batch culture	A cultivation-mode value indicating cultivation in which nutrients are fed during the run with no removal of culture broth.	CommunityMech:communitymech.yaml#CultivationModeEnum.FED_BATCH	METPO:1008101	fed-batch cultivation|fed batch culture		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.FED_BATCH
METPO:1008112	continuous culture	A cultivation-mode value indicating cultivation in which fresh medium is added and culture is withdrawn continuously, typically at steady state.	CommunityMech:communitymech.yaml#CultivationModeEnum.CONTINUOUS	METPO:1008101	continuous cultivation|open continuous culture		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.CONTINUOUS
METPO:1008113	semi-continuous culture	A cultivation-mode value indicating cultivation with periodic partial harvest and replacement of medium.	CommunityMech:communitymech.yaml#CultivationModeEnum.SEMI_CONTINUOUS	METPO:1008101	draw-and-fill culture|repeated batch culture		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.SEMI_CONTINUOUS
METPO:1008114	chemostat culture	A cultivation-mode value indicating a continuous culture held at steady state by a fixed dilution rate and a growth-limiting nutrient.	CommunityMech:communitymech.yaml#CultivationModeEnum.CHEMOSTAT	METPO:1008101	chemostat cultivation		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.CHEMOSTAT
METPO:1008115	turbidostat culture	A cultivation-mode value indicating a continuous culture controlled to hold constant turbidity or cell density.	CommunityMech:communitymech.yaml#CultivationModeEnum.TURBIDOSTAT	METPO:1008101	turbidostat cultivation		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.TURBIDOSTAT
METPO:1008116	perfusion culture	A cultivation-mode value indicating continuous medium exchange with biomass retention.	CommunityMech:communitymech.yaml#CultivationModeEnum.PERFUSION	METPO:1008101	perfusion cultivation		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.PERFUSION
METPO:1008117	sequencing batch culture	A cultivation-mode value indicating repeated fill, react, settle, and draw cycles in a single vessel.	CommunityMech:communitymech.yaml#CultivationModeEnum.SEQUENCING_BATCH	METPO:1008101	sequencing batch reactor operation|SBR operation		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.SEQUENCING_BATCH
METPO:1008118	retentostat culture	A cultivation-mode value indicating a continuous culture with complete biomass retention, approaching near-zero growth rate.	CommunityMech:communitymech.yaml#CultivationModeEnum.RETENTOSTAT	METPO:1008101	retentostat cultivation		metpo_communitymech_2026_06	HIGH		CultivationModeEnum.RETENTOSTAT
METPO:1008119	other cultivation mode	A cultivation-mode value indicating a mode not covered by the enumerated values.	CommunityMech:communitymech.yaml#CultivationModeEnum.OTHER	METPO:1008101			metpo_communitymech_2026_06	MEDIUM	catch-all; candidate to drop upstream	CultivationModeEnum.OTHER
METPO:1008120	stirred-tank bioreactor	A cultivation-system value indicating a mechanically stirred tank reactor (CSTR-type).	CommunityMech:communitymech.yaml#CultivationSystemEnum.STIRRED_TANK_BIOREACTOR	METPO:1008102	CSTR|stirred bioreactor|continuous stirred-tank reactor		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.STIRRED_TANK_BIOREACTOR
METPO:1008121	photobioreactor	A cultivation-system value indicating a light-driven reactor for cultivating phototrophic organisms.	CommunityMech:communitymech.yaml#CultivationSystemEnum.PHOTOBIOREACTOR	METPO:1008102	PBR		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.PHOTOBIOREACTOR
METPO:1008122	microbial fuel cell	A cultivation-system value indicating a bioelectrochemical system that generates electric current from microbial metabolism.	CommunityMech:communitymech.yaml#CultivationSystemEnum.MICROBIAL_FUEL_CELL	METPO:1008102	MFC		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.MICROBIAL_FUEL_CELL
METPO:1008123	bioelectrochemical system	A cultivation-system value indicating an electrode-coupled reactor broader than a microbial fuel cell (e.g. microbial electrolysis or electrosynthesis cells).	CommunityMech:communitymech.yaml#CultivationSystemEnum.BIOELECTROCHEMICAL_SYSTEM	METPO:1008102	BES|microbial electrochemical system		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.BIOELECTROCHEMICAL_SYSTEM
METPO:1008124	chemostat vessel	A cultivation-system value indicating a vessel configured for chemostat (dilution-rate-controlled) continuous culture.	CommunityMech:communitymech.yaml#CultivationSystemEnum.CHEMOSTAT_VESSEL	METPO:1008102	chemostat		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.CHEMOSTAT_VESSEL
METPO:1008125	membrane bioreactor	A cultivation-system value indicating a reactor coupling cultivation with a membrane for biomass/liquid separation.	CommunityMech:communitymech.yaml#CultivationSystemEnum.MEMBRANE_BIOREACTOR	METPO:1008102	MBR		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.MEMBRANE_BIOREACTOR
METPO:1008126	serum bottle	A cultivation-system value indicating a sealed serum bottle, commonly used for anaerobic cultivation.	CommunityMech:communitymech.yaml#CultivationSystemEnum.SERUM_BOTTLE	METPO:1008102	anaerobic serum bottle		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.SERUM_BOTTLE
METPO:1008127	culture flask	A cultivation-system value indicating an Erlenmeyer or shake flask used for cultivation.	CommunityMech:communitymech.yaml#CultivationSystemEnum.FLASK	METPO:1008102	Erlenmeyer flask|shake flask		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.FLASK
METPO:1008128	gas-lift reactor	A cultivation-system value indicating a pneumatically mixed reactor (airlift / gas-lift).	CommunityMech:communitymech.yaml#CultivationSystemEnum.GAS_LIFT_REACTOR	METPO:1008102	airlift reactor|gas lift bioreactor		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.GAS_LIFT_REACTOR
METPO:1008129	packed-bed reactor	A cultivation-system value indicating a reactor with a fixed packed support matrix for biofilm growth.	CommunityMech:communitymech.yaml#CultivationSystemEnum.PACKED_BED_REACTOR	METPO:1008102	fixed-bed reactor		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.PACKED_BED_REACTOR
METPO:1008130	microfluidic cultivation device	A cultivation-system value indicating a microfluidic cultivation chip or device.	CommunityMech:communitymech.yaml#CultivationSystemEnum.MICROFLUIDIC_DEVICE	METPO:1008102	microfluidic chip|lab-on-a-chip cultivation device		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.MICROFLUIDIC_DEVICE
METPO:1008131	hollow-fiber reactor	A cultivation-system value indicating a hollow-fiber membrane cultivation system.	CommunityMech:communitymech.yaml#CultivationSystemEnum.HOLLOW_FIBER_REACTOR	METPO:1008102	hollow fibre bioreactor		metpo_communitymech_2026_06	HIGH		CultivationSystemEnum.HOLLOW_FIBER_REACTOR
